Treat,Rep,Twitch
0,1,53
0,1,9
0,1,15
0,2,46
0,2,79
0,2,3
0,3,8
0,3,19
2.5,4,1
2.5,4,28
2.5,4,1
2.5,5,12
2.5,5,6
2.5,5,0
2.5,6,34
2.5,6,5
2.5,6,2
6.5,7,29
6.5,7,18
6.5,7,4
6.5,8,8
6.5,8,5
6.5,8,8
6.5,9,22
6.5,9,28
6.5,9,16
10,10,37
10,10,13
10,10,22
10,11,19
10,11,2
10,11,6
10,12,NA
10,12,91
10,12,6
14.5,13,18
14.5,13,67
14.5,13,12
14.5,14,46
14.5,14,31
14.5,14,22
14.5,15,30
14.5,15,85
14.5,15,11
21,16,151
21,16,142
21,16,17
21,17,4
21,17,67
21,17,62
21,18,23
21,18,83
21,18,121
29.5,19,86
29.5,19,199
29.5,19,336
29.5,20,275
29.5,20,220
